experiment,precision-CLIMATE,recall-CLIMATE,f1-CLIMATE,precision-MISC,recall-MISC,f1-MISC,accuracy,macro f1-score
tfidf_word_ngram,0.949671772428884,0.852652259332024,0.8985507246376809,0.940047961630695,0.9808173477898248,0.96,0.9426229508196721,0.9292753623188408
tfidf_word_ngram_1_4,0.9494505494505492,0.8487229862475442,0.8962655601659749,0.93854748603352,0.9808173477898248,0.959216965742251,0.9414519906323192,0.9277412629541129
tfidf_word_ngram_2_5,0.9192825112107621,0.8055009823182709,0.8586387434554971,0.9215530903328052,0.9699749791492908,0.9451442503047541,0.92096018735363,0.901891496880126
tfidf_char_ngram,0.926778242677824,0.8703339882121809,0.897669706180344,0.946341463414634,0.9708090075062552,0.958419102511322,0.9408665105386421,0.928044404345833
tfidf_stop_words,0.945295404814004,0.8487229862475442,0.8944099378881991,0.9384492406075141,0.979149291075896,0.958367346938775,0.9402810304449648,0.926388642413487
tfidf_pos,0.799352750809062,0.4852652259332021,0.6039119804400981,0.8127233738384559,0.9482902418682242,0.8752886836027719,0.810304449648712,0.739600332021435
tfidf_lemma,0.9372294372294372,0.850687622789784,0.891864057672503,0.93900481540931,0.9758131776480401,0.9570552147239259,0.9385245901639341,0.9244596361982141
tfidf_ner,0.6884615384615379,0.351669941060904,0.46553966189857,0.772099447513812,0.932443703085905,0.8447298828862859,0.7593676814988292,0.655134772392428
cv_word_ngram,0.8667992047713721,0.856581532416503,0.861660079051383,0.9394190871369301,0.944120100083403,0.9417637271214642,0.918032786885246,0.901711903086424
cv_word_ngram_1_4,0.8694779116465859,0.850687622789784,0.859980139026812,0.937190082644628,0.945788156797331,0.9414694894146948,0.9174473067915692,0.900724814220754
cv_char_ngram,0.863354037267081,0.8192534381139491,0.8407258064516129,0.924897959183673,0.9449541284403672,0.9348184818481852,0.907494145199063,0.887772144149899
cv_stop_words,0.8845360824742271,0.842829076620825,0.8631790744466801,0.9345870809484872,0.953294412010008,0.943848059454996,0.9203747072599532,0.903513566950838
cv_pos,0.7237762237762241,0.40667976424361496,0.5207547169811321,0.7876230661040791,0.934111759799833,0.85463563525372,0.7769320843091341,0.687695176117426
cv_lemma,0.8594059405940591,0.852652259332024,0.856015779092702,0.9376558603491272,0.9407839866555459,0.9392173189009159,0.9145199063231852,0.8976165489968091
cv_ner,0.61271676300578,0.416502946954813,0.49590643274853796,0.7819383259911891,0.8882402001668059,0.8317063647012879,0.7476580796252931,0.663806398724913
tfidf_word_char_ngram,0.934182590233545,0.864440078585462,0.89795918367347,0.944219886822959,0.9741451209341121,0.958949096880131,0.941451990632318,0.9284541402768001
tfidf_word_ngram_stopwords,0.93681917211329,0.8447937131630648,0.8884297520661161,0.936749399519615,0.9758131776480401,0.9558823529411759,0.936768149882904,0.922156052503646
tfidf_word_char_ngram_stopwords,0.9219409282700419,0.8585461689587429,0.88911495422177,0.9416531604538092,0.9691409507923272,0.955199342375668,0.9361826697892272,0.9221571482987192
tfidf_w_ngram_1_3_1e-05,0.0,0.0,0.0,0.701990632318501,1.0,0.8249054007567941,0.701990632318501,0.4124527003783969
tfidf_w_ngram_1_3_0.0001,0.0,0.0,0.0,0.701990632318501,1.0,0.8249054007567941,0.701990632318501,0.4124527003783969
tfidf_w_ngram_1_3_0.001,1.0,0.204322200392927,0.33931484502446996,0.7475062344139649,1.0,0.855511951480557,0.76288056206089,0.5974133982525129
tfidf_w_ngram_1_3_0.01,0.9648648648648648,0.701375245579568,0.812286689419795,0.8863976083707019,0.989157631359466,0.9349625541978721,0.9033957845433259,0.873624621808833
tfidf_w_ngram_1_3_0.1,0.945454545454545,0.817288801571709,0.8767123287671229,0.9266561514195579,0.9799833194328608,0.952573976489663,0.931498829039813,0.914643152628394
tfidf_w_ngram_1_3_1,0.949671772428884,0.852652259332024,0.8985507246376809,0.940047961630695,0.9808173477898248,0.96,0.9426229508196721,0.9292753623188408
tfidf_w_ngram_1_3_10,0.908523908523908,0.8585461689587429,0.882828282828283,0.9413202933985332,0.963302752293578,0.952184666117065,0.93208430913349,0.9175064744726741
tfidf_w_ngram_1_3_100,0.877300613496933,0.842829076620825,0.859719438877756,0.9343724364232979,0.949958298582152,0.9421009098428448,0.918032786885246,0.9009101743603
tfidf_w_ngram_1_3_1000,0.8626262626262629,0.838899803536346,0.850597609561753,0.93239901071723,0.9432860717264392,0.9378109452736321,0.912177985948478,0.8942042774176919
tfidf_word_ngram_2_5,0.9192825112107621,0.8055009823182709,0.8586387434554971,0.9215530903328052,0.9699749791492908,0.9451442503047541,0.92096018735363,0.901891496880126
best_model_resampling,0.338383838383838,0.13163064833005902,0.18953323903818997,0.7072847682119209,0.8907422852376979,0.788482834994463,0.664519906323185,0.48900803701632595
fixed_sq_1,0.945031712473573,0.878192534381139,0.910386965376782,0.949797570850202,0.978315262718932,0.963845521774856,0.94847775175644,0.9371162435758192
fixed_sq_10,0.928270042194093,0.864440078585462,0.895218718209562,0.9440842787682328,0.9716430358632192,0.9576654336210441,0.939695550351288,0.9264420759153028
fixed_sq_100,0.9136842105263159,0.852652259332024,0.8821138211382109,0.939172749391727,0.9658048373644699,0.952302631578947,0.93208430913349,0.9172082263585792
fixed_sq_1000,0.9115789473684208,0.850687622789784,0.880081300813008,0.938361719383617,0.9649708090075059,0.951480263157895,0.930913348946136,0.915780781985451
best_model_resampling_fixsq,0.23529411764705901,0.015717092337918,0.029465930018416,0.700716845878136,0.978315262718932,0.816568047337278,0.691451990632319,0.42301698867784704
best_model_resampling,0.2960526315789473,0.17681728880157171,0.22140221402214025,0.7015669515669516,0.8215179316096747,0.7568190549366115,0.6293911007025761,0.4891106344793759
best_model_resampling_fixsq,0.696969696969697,0.09037328094302556,0.16,0.7180267965895251,0.9833194328607172,0.8299894403379091,0.7172131147540983,0.4949947201689546
best_model_resampling_fixsq,0.696969696969697,0.09037328094302555,0.16,0.718026796589525,0.9833194328607172,0.8299894403379091,0.7172131147540983,0.49499472016895457
